epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,n_windows,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/n_windows,sel,sel_smoothed
1,0.9689285607992573,0.00914577152736206,0.002446317466927721,0.01280307273745699,0.007035441034209832,0.07104795737122557,0.08,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0
2,0.504804412782214,0.044538688180510884,0.01783261613938052,0.06113256113256113,0.0479313824419778,0.08436944937833037,0.46,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0
3,0.46302802495665807,0.14233523848702545,0.04503776505736103,0.13809990205680706,0.1539301310043668,0.12522202486678508,0.54,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0
4,0.4379006760683922,0.11100085087804569,0.046558330789251604,0.1269521410579345,0.14668218859138532,0.11190053285968028,0.6,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0
5,0.42910336901442747,0.12402339432783596,0.04998516403586052,0.13461538461538464,0.1564705882352941,0.11811722912966252,0.73,1126.0,0.008168774792550189,0.0044072117958021415,0.025020850708924097,0.2054794520547945,0.013321492007104795,0.0,1126.0,0.010410721076800557,0.003470240358933519
6,0.4186887071048108,0.16387494582941914,0.06790418704109338,0.16945373467112596,0.2275449101796407,0.1349911190053286,0.74,1126.0,0.05292085340517119,0.0274491905377712,0.10155857214680745,0.11703360370799537,0.08969804618117229,0.07,1126.0,0.05500689829327845,0.02180587312335967
7,0.41089865625173355,0.1430930327311179,0.0702262376518122,0.15638297872340426,0.19496021220159152,0.130550621669627,0.65,1126.0,0.1143796506948696,0.04880415986347744,0.13505578391074574,0.19930675909878684,0.10213143872113677,0.21,1126.0,0.09884223008862718,0.054753283152902066
8,0.40562797835299663,0.16700219951342035,0.08509107735786685,0.16443594646271512,0.291196388261851,0.11456483126110124,0.74,1126.0,0.11802482671340668,0.054724287438752836,0.13825424721734036,0.20309810671256454,0.10479573712255773,0.33,1126.0,0.10308054903179727,0.08564322580456762
9,0.3968457872881176,0.15973444102283307,0.08995432424047428,0.16385542168674702,0.2546816479400749,0.12078152753108348,0.8300000000000001,1126.0,0.14938863197079164,0.06644081050584516,0.1604221635883905,0.1976592977893368,0.1349911190053286,0.4,1126.0,0.12671099185482745,0.10954459032508397
10,0.38891722820844954,0.13314423192695254,0.05335800306730917,0.12548512289780075,0.23095238095238096,0.08614564831261101,0.81,1126.0,0.12433979824323427,0.06062009324119349,0.14591332967635767,0.1908177905308465,0.11811722912966252,0.45,1126.0,0.10953859302924672,0.11311004463862383
11,0.38319304629705053,0.11886762507542195,0.052916753335431846,0.12713035467526487,0.1320574162679426,0.12255772646536411,0.51,1126.0,0.1283425852421013,0.05925082743354041,0.12995974698102358,0.18433931484502447,0.10035523978685613,0.61,1126.0,0.1079384902473175,0.11472935837713055
12,0.38107279198892147,0.15549690022777785,0.06988602265153471,0.1533678756476684,0.18407960199004975,0.13143872113676733,0.58,1126.0,0.1555807749295154,0.08084447155901366,0.16589386913961876,0.19754601226993865,0.14298401420959148,0.53,1126.0,0.13522250276038555,0.11756652867898326
13,0.3756338010538951,0.15125691288298682,0.0684803696614741,0.14103275957801223,0.18814814814814815,0.1127886323268206,0.72,1126.0,0.1476952570060059,0.07648507200368565,0.15367847411444144,0.19887165021156558,0.12522202486678508,0.61,1126.0,0.12752884492699693,0.12356327931156667
14,0.3709216149061158,0.12340532227013548,0.06166713971101738,0.14110787172011663,0.20543293718166383,0.10746003552397869,0.59,1126.0,0.1413757694346178,0.07014064901795515,0.14814814814814814,0.23416506717850288,0.108348134991119,0.71,1126.0,0.12135970905232507,0.12803701891323585
15,0.36581193530915906,0.13268650380285096,0.06427145545931585,0.1479736098020735,0.1576305220883534,0.13943161634103018,0.38,1126.0,0.14340899080945707,0.07424287012362611,0.15404040404040403,0.2663755458515284,0.108348134991119,0.74,1126.0,0.12478543724989719,0.1245579970764064
16,0.3634938080136476,0.12598689184843287,0.06505159041937982,0.14362850971922247,0.18319559228650137,0.11811722912966252,0.52,1126.0,0.14589484313843804,0.07244320475475863,0.16041546451240624,0.22899505766062603,0.12344582593250444,0.68,1126.0,0.12676347589812786,0.12430287406678338
17,0.36133025780225114,0.1336597108175855,0.06186239675592834,0.13378378378378378,0.2796610169491525,0.08792184724689166,0.85,1126.0,0.14000481047421354,0.0701349816849765,0.14787084698175013,0.1562809099901088,0.14031971580817051,0.46,1126.0,0.12061706913894973,0.12405532742899161
18,0.3597782437596054,0.12112096318470411,0.05694578817087112,0.1330210772833724,0.14073339940535184,0.1261101243339254,0.44,1126.0,0.13393055692592964,0.06536187205037977,0.14713343480466767,0.17159763313609466,0.12877442273534637,0.5700000000000001,1126.0,0.11600052703901229,0.1211270240253633
19,0.35615471683072364,0.11866395278363451,0.059641779606475015,0.13459516298633017,0.16494845360824742,0.11367673179396093,0.56,1126.0,0.1253347888332473,0.06582838751417952,0.14036996735582155,0.18117977528089887,0.11456483126110124,0.61,1126.0,0.11048990414204181,0.11570250010666794
20,0.35725283138868186,0.12259650058610558,0.057197041492877056,0.1316614420062696,0.13279132791327913,0.130550621669627,0.39,1126.0,0.12556987575207654,0.06204033217221757,0.13968853232656914,0.14904330312185296,0.13143872113676733,0.46,1126.0,0.10933474399301737,0.11194172505802384
