epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
2,6.1818534843952415,0.3902589652095812,0.2196902901053349,0.29469122426868904,0.37777777777777777,0.24156305506216696,0.5,0.38446100653896814,0.21168935416735674,0.2828147438966013,0.30674974039460023,0.26234458259325044,0.46,8.677839678230015,0.3928205189350626,0.24549832585968567,0.3104352385946513,0.37900128040973113,0.26287744227353466,0.52,0.3901180147669786,0.240204109906499,0.3045953639690931,0.3561578697099382,0.2660746003552398,0.51,8.585814193630895,0.33214680494436727,0.33214680494436727
4,5.986080914148268,0.3858276473028769,0.24354904159430363,0.30676328502415456,0.47924528301886793,0.2255772646536412,0.5700000000000001,0.37788607771164184,0.24062982476427633,0.302158273381295,0.382025522671735,0.24991119005328596,0.53,8.693223396937052,0.4039448330840817,0.24972424821656955,0.3199129488574538,0.41292134831460675,0.261101243339254,0.53,0.3999792649747674,0.24289279317036894,0.30597490963214974,0.3810911016949153,0.255595026642984,0.52,8.596423937073837,0.3408722807785025,0.33650954286143486
6,5.851310778448554,0.3822016031284927,0.24099828594686995,0.31089217296113847,0.4051355206847361,0.2522202486678508,0.54,0.37301026002688953,0.23105246895609427,0.29874421678783875,0.39327146171693733,0.2408525754884547,0.54,8.738387926250486,0.4018641744064062,0.24204117560118854,0.3192834562697576,0.39248704663212436,0.2690941385435169,0.51,0.3975385416731796,0.23505899718985818,0.307242465137202,0.4187614960147149,0.24262877442273534,0.53,8.648668490403088,0.3374011311375112,0.3368067389534603
8,5.735766498606398,0.378919428339994,0.2312058448015335,0.3046218487394958,0.37275064267352187,0.25754884547069273,0.48,0.374790639956595,0.23013217175544498,0.29989440337909185,0.3697916666666667,0.2522202486678508,0.48,8.59861814214828,0.4108231092430762,0.2452085980850348,0.3250397035468502,0.40235910878112713,0.27264653641207814,0.51,0.4053855787278197,0.2391608457698901,0.31163582216549673,0.3883881230116649,0.2602131438721137,0.51,8.677461664727394,0.34398207475641857,0.34075182889081074
10,5.625215518714307,0.40131464140175105,0.23624601568573186,0.31858407079646023,0.3849056603773585,0.27175843694493784,0.49,0.3960080035896149,0.2266892871576948,0.3054726368159204,0.34728506787330315,0.27264653641207814,0.47000000000000003,8.74746447590226,0.40443368272472047,0.24361266906815013,0.322167487684729,0.36172566371681414,0.29040852575488457,0.48,0.3978676174827339,0.23774938100349366,0.3105798676281734,0.34987758735811264,0.2792184724689165,0.48,8.732160140436592,0.3397341396197511,0.3403724485045603
12,5.536624530125167,0.3967931914231154,0.22752078180581756,0.31746031746031744,0.4136947218259629,0.25754884547069273,0.5,0.3893047158474226,0.22063429228362097,0.29978966013506037,0.3978842198060535,0.2404973357015986,0.5,8.763450745995163,0.3961040077347223,0.2374991794427485,0.3238289205702648,0.3794749403341289,0.2824156305506217,0.49,0.3896371366310858,0.22874717902848807,0.31058397828927536,0.35772169483676775,0.2744227353463588,0.48,8.794220572667765,0.3340675418142387,0.33926125206346947
14,5.463909915613378,0.39032626887132477,0.22676021624764872,0.31829963711767756,0.3823163138231631,0.27264653641207814,0.5,0.3825848196741531,0.21579928559877978,0.3028331584470095,0.37,0.2563055062166963,0.5,8.855413306689432,0.3962495884367696,0.23733618177748664,0.3220973782771535,0.40511440107671604,0.2673179396092362,0.51,0.39052317861481367,0.22750415451895992,0.30919894366197187,0.40630422209369577,0.24955595026642985,0.52,8.796171854573783,0.3337451244070615,0.3358489352803504
16,5.402556861256888,0.39741170988176944,0.23803010180575096,0.3172749391727494,0.35091496232508074,0.2895204262877442,0.46,0.39110900997170045,0.2268431817310611,0.30518139809261624,0.34177493944065185,0.27566607460035525,0.46,8.827024495348017,0.39425558372904346,0.24058042106685656,0.32258064516129037,0.39869281045751637,0.27087033747779754,0.5,0.38831996954485465,0.23410225413938035,0.3109018936557184,0.3909066451439333,0.2580817051509769,0.5,8.797373918776817,0.3338180472168368,0.333876904479379
18,5.344707395452563,0.393632475863003,0.23549690577233315,0.31766452251360716,0.358659217877095,0.28507992895204265,0.46,0.38773463828053634,0.22597179606333484,0.3043912175648703,0.34738041002277903,0.27087033747779754,0.46,8.813721575635546,0.3909364823571064,0.24101172644063862,0.32225063938618925,0.37997587454764775,0.2797513321492007,0.48,0.3861347774963919,0.22999263663650904,0.3084827513893258,0.3765037112874328,0.26127886323268207,0.49,8.821969296069856,0.33222188698798266,0.33326168620396035
20,5.335885997651487,0.38901378453140556,0.24181180498826582,0.31931069437404963,0.371900826446281,0.2797513321492007,0.47000000000000003,0.3838514026229968,0.2310279659752828,0.3071274298056156,0.39173553719008264,0.25257548845470695,0.5,8.83326779527867,0.39071107842713276,0.23533623802157053,0.3185567010309278,0.3796068796068796,0.2744227353463588,0.48,0.3846512800883486,0.22823657254698831,0.3064332331917539,0.36763609246830725,0.2626998223801066,0.48,8.834229966427417,0.3296677508262231,0.3319025616770142
